Date,Open,High,Low,Close
2019-01-02,10477.769531,10612.719727,10386.969727,10580.19043
2019-01-03,10467.110352,10538.660156,10400.110352,10416.660156
2019-01-04,10533.94043,10786.339844,10483.900391,10767.69043
2019-01-07,10814.389648,10814.469727,10681.269531,10747.80957
2019-01-08,10750.19043,10910.709961,10745.030273,10803.980469
2019-01-09,10884.75,10961.919922,10839.089844,10893.320313
2019-01-10,10843.889648,10927.129883,10788.049805,10921.589844
2019-01-11,10949.129883,10959.0,10829.919922,10887.459961
2019-01-14,10820.849609,10886.230469,10786.75,10855.910156
2019-01-15,10962.950195,10994.830078,10812.589844,10891.790039
2019-01-16,10940.360352,10947.870117,10866.389648,10931.240234
2019-01-17,10852.5,10929.299805,10822.25,10918.620117
2019-01-18,11001.30957,11216.820313,10993.830078,11205.540039
2019-01-21,11176.120117,11179.910156,11125.530273,11136.200195
2019-01-22,11076.980469,11142.219727,11034.549805,11090.110352
2019-01-23,11043.639648,11135.75,11007.209961,11071.540039
2019-01-24,11045.639648,11149.320313,11032.530273,11130.179688
2019-01-25,11234.049805,11321.620117,11218.349609,11281.790039
2019-01-28,11233.160156,11275.209961,11196.419922,11210.30957
2019-01-29,11191.519531,11276.280273,11159.169922,11218.830078
2019-01-30,11210.679688,11215.209961,11132.379883,11181.660156
2019-01-31,11257.919922,11311.370117,11051.110352,11173.099609
2019-02-01,11198.459961,11218.509766,11116.080078,11180.660156
2019-02-04,11180.419922,11209.30957,11100.339844,11176.580078
2019-02-05,11178.75,11371.740234,11177.700195,11367.980469
2019-02-06,11337.540039,11347.94043,11297.419922,11324.719727
2019-02-07,11262.969727,11286.459961,11022.019531,11022.019531
2019-02-08,10991.790039,11045.410156,10863.55957,10906.780273
2019-02-11,10955.830078,11041.950195,10944.580078,11014.589844
2019-02-12,11123.429688,11164.379883,11116.860352,11126.080078
2019-02-13,11174.849609,11217.299805,11125.589844,11167.219727
2019-02-14,11257.799805,11260.549805,11077.780273,11089.790039
2019-02-15,11044.799805,11323.049805,11018.950195,11299.799805
2019-02-18,11287.740234,11318.19043,11256.269531,11299.200195
2019-02-19,11280.730469,11371.44043,11244.519531,11309.209961
2019-02-20,11338.740234,11437.469727,11318.740234,11401.969727
2019-02-21,11448.650391,11454.44043,11392.269531,11423.280273
2019-02-22,11422.620117,11504.709961,11420.740234,11457.700195
2019-02-25,11517.759766,11544.30957,11480.490234,11505.389648
2019-02-26,11446.290039,11556.870117,11441.870117,11540.790039
2019-02-27,11493.80957,11521.219727,11442.969727,11487.330078
2019-02-28,11430.799805,11524.990234,11416.080078,11515.639648
2019-03-01,11584.240234,11676.860352,11583.080078,11601.679688
2019-03-04,11646.209961,11650.44043,11591.740234,11592.660156
2019-03-05,11570.969727,11627.780273,11551.450195,11620.740234
2019-03-06,11593.209961,11652.769531,11565.219727,11587.629883
2019-03-07,11546.419922,11612.950195,11452.860352,11517.799805
2019-03-08,11429.769531,11475.549805,11405.209961,11457.839844
2019-03-11,11497.980469,11550.589844,11462.900391,11543.480469
2019-03-12,11612.459961,11618.730469,11499.469727,11524.169922
2019-03-13,11499.320313,11586.900391,11486.740234,11572.410156
2019-03-14,11573.419922,11635.759766,11541.099609,11587.469727
2019-03-15,11608.669922,11725.660156,11575.330078,11685.69043
2019-03-18,11685.540039,11712.360352,11635.879883,11657.05957
2019-03-19,11672.759766,11823.290039,11652.019531,11788.410156
2019-03-20,11704.44043,11721.410156,11596.200195,11603.889648
2019-03-21,11566.870117,11582.540039,11467.790039,11549.959961
2019-03-22,11578.389648,11623.969727,11356.490234,11364.169922
2019-03-25,11323.200195,11392.0,11312.540039,11346.650391
2019-03-26,11374.179688,11447.129883,11299.799805,11419.480469
2019-03-27,11439.019531,11502.349609,11368.129883,11419.040039
2019-03-28,11422.160156,11494.150391,11414.660156,11428.160156
2019-03-29,11492.089844,11549.419922,11442.120117,11526.040039
2019-04-01,11617.179688,11706.639648,11612.700195,11681.990234
2019-04-02,11703.240234,11777.650391,11659.150391,11754.790039
2019-04-03,11855.400391,11961.360352,11854.209961,11954.400391
2019-04-04,11924.610352,12029.259766,11916.570313,11988.009766
2019-04-05,11993.219727,12024.230469,11967.700195,12009.75
2019-04-08,11979.730469,11989.589844,11948.259766,11963.400391
2019-04-09,11927.009766,11988.530273,11850.570313,11850.570313
2019-04-10,11864.459961,11937.110352,11863.799805,11905.910156
2019-04-11,11914.509766,11963.429688,11846.599609,11935.200195
2019-04-12,11912.580078,12031.150391,11889.990234,11999.929688
2019-04-15,12011.110352,12029.980469,11983.330078,12020.280273
2019-04-16,12026.740234,12116.25,12025.660156,12101.320313
2019-04-17,12100.44043,12195.0,12086.889648,12153.070313
2019-04-18,12138.139648,12243.629883,12100.0,12222.389648
2019-04-23,12224.320313,12251.80957,12182.980469,12235.509766
2019-04-24,12232.990234,12349.830078,12223.980469,12313.160156
2019-04-25,12304.530273,12321.790039,12236.139648,12282.599609
2019-04-26,12284.459961,12323.639648,12259.759766,12315.179688
2019-04-29,12308.980469,12376.05957,12266.339844,12328.019531
