Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,12265.889648,12373.290039,12263.099609,12339.030273,12339.030273,76918300
2018-10-02,12229.070313,12310.759766,12203.599609,12287.580078,12287.580078,82307700
2018-10-04,12275.070313,12348.860352,12174.690430,12244.139648,12244.139648,101177000
2018-10-05,12236.290039,12245.410156,12103.549805,12111.900391,12111.900391,94036400
2018-10-08,12044.959961,12072.269531,11938.799805,11947.160156,11947.160156,77268800
2018-10-09,11963.629883,11998.639648,11803.190430,11977.219727,11977.219727,77186000
2018-10-10,11976.700195,11978.799805,11712.269531,11712.500000,11712.500000,0
2018-10-11,11558.980469,11700.500000,11518.559570,11539.349609,11539.349609,142293600
2018-10-12,11691.469727,11693.839844,11514.549805,11523.809570,11523.809570,99171000
2018-10-15,11523.809570,11625.019531,11459.080078,11614.160156,11614.160156,71968200
2018-10-16,11637.620117,11790.150391,11606.969727,11776.549805,11776.549805,85693600
2018-10-17,11811.469727,11847.790039,11669.959961,11715.030273,11715.030273,93600200
2018-10-18,11695.190430,11791.219727,11586.320313,11589.209961,11589.209961,97180800
2018-10-19,11578.849609,11617.280273,11498.690430,11553.830078,11553.830078,128743800
2018-10-22,11665.679688,11677.450195,11497.089844,11524.339844,11524.339844,73772600
2018-10-23,11367.570313,11394.209961,11228.500000,11274.280273,11274.280273,115195200
2018-10-24,11298.650391,11391.940430,11166.839844,11191.629883,11191.629883,117472700
2018-10-25,11098.679688,11324.919922,11078.370117,11307.120117,11307.120117,0
2018-10-26,11180.959961,11205.830078,11051.040039,11200.620117,11200.620117,138702800
2018-10-29,11270.669922,11444.860352,11218.919922,11335.480469,11335.480469,98716300
2018-10-30,11391.780273,11394.370117,11212.580078,11287.389648,11287.389648,99304800
2018-10-31,11417.089844,11499.379883,11391.639648,11447.509766,11447.509766,127284000
2018-11-01,11419.610352,11575.429688,11416.360352,11468.540039,11468.540039,98851100
2018-11-02,11636.370117,11689.959961,11518.870117,11518.990234,11518.990234,109924000
2018-11-05,11522.330078,11555.969727,11479.190430,11494.959961,11494.959961,69373800
2018-11-06,11518.169922,11528.519531,11436.530273,11484.339844,11484.339844,0
2018-11-07,11542.089844,11634.809570,11532.339844,11579.099609,11579.099609,85986800
2018-11-08,11629.000000,11648.790039,11503.360352,11527.320313,11527.320313,80629900
2018-11-09,11489.190430,11549.059570,11418.349609,11529.160156,11529.160156,103701100
2018-11-12,11591.589844,11598.509766,11310.719727,11325.440430,11325.440430,93211100
2018-11-13,11374.110352,11495.690430,11349.940430,11472.219727,11472.219727,100043500
2018-11-14,11394.750000,11566.790039,11314.599609,11412.530273,11412.530273,106400600
2018-11-15,11447.839844,11500.660156,11254.919922,11353.669922,11353.669922,96865000
2018-11-16,11425.799805,11448.559570,11233.209961,11341.000000,11341.000000,113018300
2018-11-19,11384.000000,11419.549805,11231.589844,11244.540039,11244.540039,78718200
2018-11-20,11157.650391,11187.160156,11009.250000,11066.410156,11066.410156,119967800
2018-11-21,11138.250000,11257.830078,11113.339844,11244.169922,11244.169922,92605400
2018-11-22,11216.290039,11221.769531,11119.040039,11138.490234,11138.490234,64564400
2018-11-23,11146.549805,11205.990234,11093.519531,11192.690430,11192.690430,63011900
2018-11-26,11315.900391,11390.929688,11301.820313,11354.719727,11354.719727,89434600
2018-11-27,11380.790039,11400.049805,11264.650391,11309.110352,11309.110352,75453200
2018-11-28,11355.799805,11358.799805,11279.459961,11298.879883,11298.879883,72950500
2018-11-29,11377.209961,11403.719727,11275.700195,11298.230469,11298.230469,92388200
2018-11-30,11311.660156,11315.299805,11208.599609,11257.240234,11257.240234,109013100
2018-12-03,11534.750000,11566.969727,11457.610352,11465.459961,11465.459961,101248500
2018-12-04,11429.820313,11442.190430,11330.440430,11335.320313,11335.320313,83807700
2018-12-05,11204.320313,11266.280273,11177.150391,11200.240234,11200.240234,73386400
2018-12-06,11053.580078,11063.440430,10762.410156,10810.980469,10810.980469,132009900
2018-12-07,10876.339844,10927.370117,10788.089844,10788.089844,10788.089844,100383400
2018-12-10,10726.169922,10757.730469,10585.769531,10622.070313,10622.070313,119543200
2018-12-11,10711.400391,10884.620117,10684.620117,10780.509766,10780.509766,101814600
2018-12-12,10832.040039,10971.120117,10815.509766,10929.429688,10929.429688,103230400
2018-12-13,10978.679688,10988.769531,10887.259766,10924.700195,10924.700195,87998300
2018-12-14,10809.580078,10903.389648,10733.750000,10865.769531,10865.769531,81422700
2018-12-17,10852.990234,10886.799805,10700.620117,10772.200195,10772.200195,85598700
2018-12-18,10744.280273,10841.419922,10714.969727,10740.889648,10740.889648,96287600
2018-12-19,10777.419922,10831.440430,10749.549805,10766.209961,10766.209961,96506200
2018-12-20,10621.179688,10686.370117,10563.440430,10611.099609,10611.099609,122450600
2018-12-21,10573.080078,10654.660156,10512.639648,10633.820313,10633.820313,216162200
2018-12-27,10607.419922,10635.450195,10279.200195,10381.509766,10381.509766,104152600
2018-12-28,10452.019531,10586.799805,10431.379883,10558.959961,10558.959961,52604300
